start	end	kind	owner	instructions	calls
97b7c138	97b7c30c	table	_PPParserPreprocessString	117	
97b7c7c4	97b7c998	table	_PPParserPreprocessString	117	
97b80cc4	97b80ce4	table	_testAttribMatch	8	
97b814a8	97b81648	table	_PPParserParseOperation	104	
97b82074	97b82078	millicode	_PPParserParseSourceVar	1	
97b82434	97b82464	table	_PPStreamChunkGetStream	12	
97b825f8	97b82628	table	_GetChunkAllocationSize	12	
97b82c88	97b82cb8	table	_PPStreamChunkListGetMaxIndex	12	
97b8313c	97b83260	table	_PPEmulatorProgramConvertFromPPStream	73	
97b832a4	97b83404	table	_PPEmulatorProgramConvertFromPPStream	88	
97b83934	97b8395c	table	_PPEmulatorProgramConvertFromPPStream	10	
97b83b38	97b83c6c	table	_PPEmulatorProgramConvertFromPPStream	77	
97b83c98	97b83ce0	table	_PPEmulatorProgramConvertFromPPStream	18	
97b83e24	97b83e54	table	_PPStreamChunkListChunkAtIndex	12	
97b844d0	97b84538	table	_PPParserParseSourceSwizzle	26	
97b846b4	97b8471c	table	_PPParserParseDestinationMask	26	
97b85148	97b85274	table	_PPParserParseSwizzleCode	75	
97b853f0	97b853f8	other	_PPParserParseSwizzleCode	2	
97b85cd8	97b85cdc	millicode	_GetReversedAtom	1	
97b86c5c	97b86c7c	other	_op_shl	8	
97b86c98	97b86ca0	other	_op_pos	2	
97b87cdc	97b87ce0	millicode	_eof_scan_97b87cd4	1	
97b8892c	97b88930	millicode	_eof_scan_97b88924	1	
97b889a4	97b889a8	millicode	_InitScanner	1	
97b88a8c	97b88a90	millicode	_str_getch	1	
97b88fd0	97b891c8	table	_byte_scan	126	
97b89f00	97b89f04	millicode	_check_EOF	1	
97b8acb0	97b8acb4	millicode	_ReadFromTokenStream	1	
97b8ae04	97b8ae38	table	_DumpTokenStream	13	
97b8cd40	97b8cda8	table	TIntermediate::addBinaryMath	26	
97b8daf0	97b8db20	switch-code	TIntermediate::addUnaryMath	12	
97b8db2c	97b8db40	other	TIntermediate::addUnaryMath	5	
97b8ea90	97b8eaa8	table	TIntermediate::addConversion	6	
97b8ebc4	97b8ebdc	table	TIntermediate::addConversion	6	
97b8ed24	97b8ed3c	table	TIntermediate::addConversion	6	
97b8ed78	97b8ed90	table	TIntermediate::addConversion	6	
97b8ef20	97b8ef38	table	TIntermediate::addConversion	6	
97b8efa8	97b8efc0	table	TIntermediate::addConversion	6	
97b8f030	97b8f048	table	TIntermediate::addConversion	6	
97b8f084	97b8f0b4	switch-code	TIntermediate::addConversion	12	
97b8f0c0	97b8f0d4	other	TIntermediate::addConversion	5	
97b909e4	97b90b98	table	TIntermBinary::promote	109	
97b90e00	97b90e30	switch-code	TIntermBinary::promote	12	
97b90e3c	97b90e50	other	TIntermBinary::promote	5	
97b9116c	97b9119c	switch-code	TIntermBinary::promote	12	
97b911a8	97b911bc	other	TIntermBinary::promote	5	
97b91838	97b918a0	table	TIntermConstantUnion::fold	26	
97b91990	97b919a8	table	TIntermConstantUnion::fold	6	
97b91abc	97b91aec	switch-code	TIntermConstantUnion::fold	12	
97b91af8	97b91b0c	other	TIntermConstantUnion::fold	5	
97b91cdc	97b91cf4	table	TIntermConstantUnion::fold	6	
97b91df0	97b91e08	table	TIntermConstantUnion::fold	6	
97b91e14	97b91e40	other	TIntermConstantUnion::fold	11	
97b91f80	97b91f98	table	TIntermConstantUnion::fold	6	
97b91fa4	97b91fd0	other	TIntermConstantUnion::fold	11	
97b9210c	97b92124	table	TIntermConstantUnion::fold	6	
97b92130	97b9215c	other	TIntermConstantUnion::fold	11	
97b92294	97b922ac	table	TIntermConstantUnion::fold	6	
97b922b8	97b922e4	other	TIntermConstantUnion::fold	11	
97b92408	97b92420	table	TIntermConstantUnion::fold	6	
97b92520	97b92538	table	TIntermConstantUnion::fold	6	
97b9260c	97b92624	table	TIntermConstantUnion::fold	6	
97b92744	97b92774	switch-code	TIntermConstantUnion::fold	12	
97b92780	97b92794	other	TIntermConstantUnion::fold	5	
97b92890	97b928c0	switch-code	TIntermConstantUnion::fold	12	
97b928cc	97b928e0	other	TIntermConstantUnion::fold	5	
97b92b44	97b92c54	table	TIntermConstantUnion::fold	68	
97b92d3c	97b92d6c	switch-code	TIntermConstantUnion::fold	12	
97b92d78	97b92d8c	other	TIntermConstantUnion::fold	5	
97b92f10	97b92f40	switch-code	TIntermConstantUnion::fold	12	
97b92f4c	97b92f60	other	TIntermConstantUnion::fold	5	
97b930d8	97b93108	switch-code	TIntermConstantUnion::fold	12	
97b93114	97b93128	other	TIntermConstantUnion::fold	5	
97b93224	97b93254	switch-code	TIntermConstantUnion::fold	12	
97b93260	97b93274	other	TIntermConstantUnion::fold	5	
97b934ac	97b934c4	table	TIntermConstantUnion::fold	6	
97b9351c	97b93534	table	TIntermConstantUnion::fold	6	
97b93540	97b9356c	other	TIntermConstantUnion::fold	11	
97b9369c	97b936b4	table	TIntermConstantUnion::fold	6	
97b93704	97b9371c	table	TIntermConstantUnion::fold	6	
97b93728	97b93754	other	TIntermConstantUnion::fold	11	
97b9386c	97b93884	table	TIntermConstantUnion::fold	6	
97b938f8	97b93910	table	TIntermConstantUnion::fold	6	
97b93a74	97b93aa4	switch-code	TIntermConstantUnion::fold	12	
97b93ab0	97b93ac4	other	TIntermConstantUnion::fold	5	
97b93cbc	97b93cd4	table	TIntermConstantUnion::fold	6	
97b93da8	97b93dc0	table	TIntermConstantUnion::fold	6	
97b93ed8	97b93f08	switch-code	TIntermConstantUnion::fold	12	
97b93f14	97b93f28	other	TIntermConstantUnion::fold	5	
97b94184	97b9419c	table	TIntermConstantUnion::fold	6	
97b94344	97b94374	switch-code	TIntermConstantUnion::fold	12	
97b94380	97b94394	other	TIntermConstantUnion::fold	5	
97b94568	97b94598	switch-code	TIntermConstantUnion::fold	12	
97b945a4	97b945b8	other	TIntermConstantUnion::fold	5	
97b948f8	97b94940	table	TIntermConstantUnion::fold	18	
97b94998	97b949b0	table	TIntermConstantUnion::fold	6	
97b949bc	97b949e8	other	TIntermConstantUnion::fold	11	
97b94d24	97b94d6c	table	TIntermConstantUnion::fold	18	
97b94dcc	97b94de4	table	TIntermConstantUnion::fold	6	
97b94df0	97b94e1c	other	TIntermConstantUnion::fold	11	
97b95284	97b9529c	table	TIntermConstantUnion::fold	6	
97b95438	97b95468	switch-code	TIntermConstantUnion::fold	12	
97b95474	97b95488	other	TIntermConstantUnion::fold	5	
97b95644	97b9565c	table	TIntermConstantUnion::fold	6	
97b956e0	97b956f8	table	TIntermConstantUnion::fold	6	
97b958f4	97b9590c	table	TIntermConstantUnion::fold	6	
97b95a98	97b95ac8	switch-code	TIntermConstantUnion::fold	12	
97b95ad4	97b95ae8	other	TIntermConstantUnion::fold	5	
97b960f4	97b9610c	table	TIntermediate::promoteConstantUnion	6	
97b961b0	97b961c8	table	TIntermediate::promoteConstantUnion	6	
97b962a0	97b962b8	table	TIntermediate::promoteConstantUnion	6	
97b962f4	97b96324	switch-code	TIntermediate::promoteConstantUnion	12	
97b96330	97b96344	other	TIntermediate::promoteConstantUnion	5	
97b97308	97b9732c	switch-code	OutputAggregate	9	
97b97338	97b97358	other	OutputAggregate	8	
97b978c8	97b978f8	switch-code	OutputConstantUnion	12	
