start	end	kind	owner	instructions	calls
27c4	27d0	padding	FUN_000027a4	3	
2ad8	2ae0	padding	FUN_000027d0	2	
2b38	5610	switch-code	FUN_00002ae0	2742	0x198b0,0x29290,_malloc
5628	5630	padding	FUN_00002ae0	2	
56bc	56c0	padding	_gldSetInteger	1	
58c8	58d0	padding	_gldSetInteger	2	
5a98	5aa0	padding	_gldSetInteger	2	
5b0c	5b10	padding	_gldGetInteger	1	
5b28	5b30	padding	_gldGetInteger	2	
5b78	5b80	padding	_gldGetInteger	2	
5c48	5c74	table	_gldGetInteger	11	
5d48	5d50	padding	_gldGetInteger	2	
5ea4	5eb0	padding	FUN_00005db0	3	
5f68	5f70	padding	FUN_00005eb0	2	
6014	6020	padding	_gldFlushBuffer	3	
605c	6060	padding	_gldGetMemoryPluginData	1	
60c4	60d0	padding	_gldSetMemoryPluginData	3	
61a4	61b0	padding	_gldFinishMemoryPluginData	3	
6204	6210	padding	_gldTestMemoryPluginData	3	
6238	6240	padding	_gldTestMemoryPluginData	2	
6334	6340	padding	_gldDestroyMemoryPluginData	3	
642c	6430	padding	_gldReclaimBuffer	1	
6468	6470	padding	_gldDestroyBuffer	2	
65a8	65b0	padding	FUN_00006470	2	
66f8	6700	padding	FUN_000065b0	2	
67d8	67e0	padding	_gldCreateContext	2	
680c	6810	padding	_gldCreateContext	1	
6d78	6d80	padding	_gldCreateContext	2	
6d88	6d90	padding	_gldCreateContext	2	
6da4	6db0	padding	_gldCreateContext	3	
6dc8	6dd0	padding	_gldCreateContext	2	
6e1c	6e20	padding	_gldDestroyContext	1	
6e2c	6e30	padding	_gldDestroyContext	1	
6e98	6ea0	padding	_gldDestroyContext	2	
6eb8	6ec0	padding	_gldDestroyContext	2	
6f8c	6f90	padding	_gldDestroyShared	1	
6fe4	6ff0	padding	_gldReclaimContext	3	
701c	7020	padding	_gldReclaimContext	1	
70c4	70d0	padding	FUN_00007020	3	
7144	7150	padding	_gldAttachDrawable	3	
7204	7210	padding	_gldAttachDrawable	3	
7774	7780	padding	_gldAttachDrawable	3	
778c	7790	padding	_gldAttachDrawable	1	
77d4	77e0	padding	_gldAttachDrawable	3	
7824	7830	padding	FUN_00007810	3	
7844	7850	padding	_gldGetError	3	
78bc	78c0	padding	_gldCreateFence	1	
79ec	79f0	padding	_gldCreateFence	1	
7a3c	7a40	padding	_gldDestroyFence	1	
7b28	7b30	padding	_gldTestObject	2	
7c04	7c10	padding	_gldFinishObject	3	
7c68	7c70	padding	_gldFinishObject	2	
7cd8	7ce0	padding	_gldCreateFramebuffer	2	
7ce4	7cf0	padding	_gldReclaimFramebuffer	3	
8168	8170	padding	_gldChoosePixelFormat	2	
8198	8304	table	_gldChoosePixelFormat	91	
8324	8330	padding	_gldChoosePixelFormat	3	
876c	8770	padding	_gldChoosePixelFormat	1	
88c8	88d0	padding	_gldChoosePixelFormat	2	
89c4	89d0	padding	_gldChoosePixelFormat	3	
8a04	8a10	padding	_gldChoosePixelFormat	3	
8a44	8a50	padding	_gldDestroyPixelFormat	3	
8a98	8aa0	padding	_gldGetRendererInfo	2	
8c1c	8c20	padding	_gldGetRendererInfo	1	
8c38	8c40	padding	_gldGetRendererInfo	2	
8c58	8c60	padding	_gldGetRendererInfo	2	
8cd4	8ce0	padding	_gldInitializeLibrary	3	
8d08	8d10	padding	_gldInitializeLibrary	2	
8d48	8d50	padding	_gldTerminateLibrary	2	
8e04	8e10	padding	_gldCreateTexture	3	
8e5c	8e60	padding	_gldCreateTextureLevel	1	
8e74	8e80	padding	_gldModifyTexture	3	
8eb4	8ec0	padding	_gldModifyTextureLevel	3	
8f58	8f60	padding	_gldModifyTextureLevel	2	
90f4	9100	padding	_gldGetTextureLevelInfo	3	
9174	9180	padding	_gldGetTextureLevelInfo	3	
9288	9290	padding	_gldDeleteTextureLevel	2	
937c	9380	padding	_gldReclaimTexture	1	
